[2025-09-16T11:47:09.481Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T11:47:20.402Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T11:47:20.552Z] [DEBUG] [KILL-CHROME] Erro ao matar chrome.exe: | Data: "Command failed: taskkill /f /im chrome.exe /t\nERRO: o processo \"chrome.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:47:20.727Z] [DEBUG] [KILL-CHROME] Erro ao matar chromium.exe: | Data: "Command failed: taskkill /f /im chromium.exe /t\nERRO: o processo \"chromium.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:47:20.890Z] [DEBUG] [KILL-CHROME] Erro ao matar msedge.exe: | Data: "Command failed: taskkill /f /im msedge.exe /t\nERRO: o processo \"msedge.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:47:21.013Z] [DEBUG] [KILL-CHROME] Erro ao matar brave.exe: | Data: "Command failed: taskkill /f /im brave.exe /t\nERRO: o processo \"brave.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:47:21.120Z] [DEBUG] [KILL-CHROME] Erro ao matar opera.exe: | Data: "Command failed: taskkill /f /im opera.exe /t\nERRO: o processo \"opera.exe\" n�o foi encontrado.\r\n"
[2025-09-16T11:53:59.771Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T11:57:56.649Z] [DEBUG] joaosn - 📥 100% - WhatsApp
[2025-09-16T11:58:42.140Z] [DEBUG] Promise details: | Data: {}
[2025-09-16T11:59:07.647Z] [DEBUG] joaosn - 📥 95% - WhatsApp
[2025-09-16T11:59:11.866Z] [DEBUG] joaosn - 📥 99% - WhatsApp
